Campus,Faculty Code,International/Domestic,Measure Names,Program,Program Type,Session Year,Student Level,Measure Values
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2009,Undergraduate,4
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2010,Undergraduate,2
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2011,Undergraduate,1
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2012,Undergraduate,3
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2013,Undergraduate,5
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2014,Undergraduate,3
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2015,Undergraduate,4
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2006,Undergraduate,"9,217"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2007,Undergraduate,"9,200"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2008,Undergraduate,"9,215"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2009,Undergraduate,"9,231"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2010,Undergraduate,"9,219"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2011,Undergraduate,"9,209"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2012,Undergraduate,"9,332"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2013,Undergraduate,"9,051"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2014,Undergraduate,"8,763"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Arts,Baccalaureate Degree,2015,Undergraduate,"8,978"
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2006,Undergraduate,165
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2007,Undergraduate,151
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2008,Undergraduate,151
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2009,Undergraduate,193
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2010,Undergraduate,206
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2011,Undergraduate,217
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2012,Undergraduate,235
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2013,Undergraduate,236
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2014,Undergraduate,215
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Fine Arts,Baccalaureate Degree,2015,Undergraduate,203
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of International Economics,Baccalaureate Degree,2015,Undergraduate,126
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Intl Economics,Baccalaureate Degree,2013,Undergraduate,43
Vancouver,ARTS,Domestic,Headcount at November 1,Bachelor of Intl Economics,Baccalaureate Degree,2014,Undergraduate,88
